objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
demo_001,Liberty Bell,,,,,,39.949562,-75.150391,,,,,,,,item,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Liberty_Bell_2008.jpg/500px-Liberty_Bell_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Liberty_Bell_2008.jpg/250px-Liberty_Bell_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Liberty_Bell_2008.jpg/250px-Liberty_Bell_2008.jpg,"The Liberty Bell, a large bell with a crack in it.",
demo_002,Rocky Statue,,,,,,39.96514586,-75.17927495,,,,,,,,item,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/The_Rocky_Statue.jpg/960px-The_Rocky_Statue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/The_Rocky_Statue.jpg/250px-The_Rocky_Statue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/The_Rocky_Statue.jpg/250px-The_Rocky_Statue.jpg,Statue of Rocky Balboa in front of some foliage,
